posto,time_division,model_id,p,h,h_std,avg_cv_mse,total_aic
ITAIPU,sem,1,5,4,0,,17105.006030417786
ITAIPU,sem,1,5,5,0,,17104.096999573343
ITAIPU,sem,2,1,1,0,,19527.815689855248
ITAIPU,sem,2,1,2,0,,19523.11903584887
ITAIPU,sem,2,1,3,0,,19513.224620593464
ITAIPU,sem,2,1,4,0,,19517.841325929974
ITAIPU,sem,2,1,5,0,,19517.050761927236
ITAIPU,sem,2,2,1,0,,19405.04270767348
ITAIPU,sem,2,2,2,0,,19406.658465993263
ITAIPU,sem,2,2,3,0,,19399.76625910502
ITAIPU,sem,2,2,4,0,,19404.716209185957
ITAIPU,sem,2,2,5,0,,19404.676655529012
ITAIPU,sem,2,3,1,0,,19325.94899924116
ITAIPU,sem,2,3,2,0,,19320.90312789564
ITAIPU,sem,2,3,3,0,,19313.142184077697
ITAIPU,sem,2,3,4,0,,19317.450411535505
ITAIPU,sem,2,3,5,0,,19312.294979087983
ITAIPU,sem,2,4,1,0,,19247.66024979779
ITAIPU,sem,2,4,2,0,,19247.064795053604
ITAIPU,sem,2,4,3,0,,19235.680339761002
ITAIPU,sem,2,4,4,0,,19240.34229591568
ITAIPU,sem,2,4,5,0,,19236.811604186754
ITAIPU,sem,2,5,1,0,,19100.586810939283
ITAIPU,sem,2,5,2,0,,19104.87199461489
ITAIPU,sem,2,5,3,0,,19093.166001243313
ITAIPU,sem,2,5,4,0,,19096.841726877778
ITAIPU,sem,2,5,5,0,,19100.54100759154
ITAIPU,sem,3,1,1,1,,17147.379733658912
ITAIPU,sem,3,1,1,2,,17152.790790208277
ITAIPU,sem,3,1,1,3,,17160.458827420385
ITAIPU,sem,3,1,1,4,,17165.067258956988
ITAIPU,sem,3,1,1,5,,17166.280048049066
ITAIPU,sem,3,1,2,1,,17146.845344904777
ITAIPU,sem,3,1,2,2,,17152.013596966746
ITAIPU,sem,3,1,2,3,,17159.192707481576
ITAIPU,sem,3,1,2,4,,17164.537265285584
ITAIPU,sem,3,1,2,5,,17164.54026798232
ITAIPU,sem,3,1,3,1,,17141.475672448556
ITAIPU,sem,3,1,3,2,,17146.646220929895
ITAIPU,sem,3,1,3,3,,17153.75913443604
ITAIPU,sem,3,1,3,4,,17159.08698745993
ITAIPU,sem,3,1,3,5,,17158.925481546536
ITAIPU,sem,3,1,4,1,,17145.241422786075
ITAIPU,sem,3,1,4,2,,17150.39848322775
ITAIPU,sem,3,1,4,3,,17157.51131404031
ITAIPU,sem,3,1,4,4,,17162.85948743504
ITAIPU,sem,3,1,4,5,,17162.683055951748
ITAIPU,sem,3,1,5,1,,17145.272021666668
ITAIPU,sem,3,1,5,2,,17150.430671910995
ITAIPU,sem,3,1,5,3,,17157.609835930856
ITAIPU,sem,3,1,5,4,,17162.935494082725
ITAIPU,sem,3,1,5,5,,17162.831892103324
ITAIPU,sem,3,2,1,1,,17147.678234576717
ITAIPU,sem,3,2,1,2,,17153.04043004533
ITAIPU,sem,3,2,1,3,,17161.87200496535
ITAIPU,sem,3,2,1,4,,17166.89329127227
ITAIPU,sem,3,2,1,5,,17167.571919143957
ITAIPU,sem,3,2,2,1,,17147.22957115704
ITAIPU,sem,3,2,2,2,,17152.361780721996
ITAIPU,sem,3,2,2,3,,17160.851671025754
ITAIPU,sem,3,2,2,4,,17166.524331939156
ITAIPU,sem,3,2,2,5,,17166.020872442215
ITAIPU,sem,3,2,3,1,,17142.205200799384
ITAIPU,sem,3,2,3,2,,17147.41873233816
ITAIPU,sem,3,2,3,3,,17155.739402432733
ITAIPU,sem,3,2,3,4,,17161.278497257706
ITAIPU,sem,3,2,3,5,,17160.657411438275
ITAIPU,sem,3,2,4,1,,17145.962981258686
ITAIPU,sem,3,2,4,2,,17151.17055442378
ITAIPU,sem,3,2,4,3,,17159.506168826974
ITAIPU,sem,3,2,4,4,,17165.05595979877
ITAIPU,sem,3,2,4,5,,17164.42411335762
ITAIPU,sem,3,2,5,1,,17146.19283742103
ITAIPU,sem,3,2,5,2,,17151.407220034627
ITAIPU,sem,3,2,5,3,,17159.72258541397
ITAIPU,sem,3,2,5,4,,17165.18177207001
ITAIPU,sem,3,2,5,5,,17164.64935899924
ITAIPU,sem,3,3,1,1,,17126.611664998596
ITAIPU,sem,3,3,1,2,,17131.168132662722
ITAIPU,sem,3,3,1,3,,17141.22133863203
ITAIPU,sem,3,3,1,4,,17146.66150798299
ITAIPU,sem,3,3,1,5,,17146.59862090643
ITAIPU,sem,3,3,2,1,,17125.343090927152
ITAIPU,sem,3,3,2,2,,17129.672096657618
ITAIPU,sem,3,3,2,3,,17139.047309924907
ITAIPU,sem,3,3,2,4,,17145.2613640496
ITAIPU,sem,3,3,2,5,,17143.741024571274
ITAIPU,sem,3,3,3,1,,17118.655121045987
ITAIPU,sem,3,3,3,2,,17122.78474891272
ITAIPU,sem,3,3,3,3,,17131.840468377788
ITAIPU,sem,3,3,3,4,,17137.881730146408
ITAIPU,sem,3,3,3,5,,17135.853201437367
ITAIPU,sem,3,3,4,1,,17122.460631400056
ITAIPU,sem,3,3,4,2,,17126.573168088504
ITAIPU,sem,3,3,4,3,,17135.64711930474
ITAIPU,sem,3,3,4,4,,17141.70752787743
ITAIPU,sem,3,3,4,5,,17139.677197038185
ITAIPU,sem,3,3,5,1,,17121.39310962545
ITAIPU,sem,3,3,5,2,,17125.46594026527
ITAIPU,sem,3,3,5,3,,17134.418560081496
ITAIPU,sem,3,3,5,4,,17140.3705441093
ITAIPU,sem,3,3,5,5,,17138.3968734579
ITAIPU,sem,3,4,1,1,,17122.619479004337
ITAIPU,sem,3,4,1,2,,17127.72091151441
ITAIPU,sem,3,4,1,3,,17137.24812760912
ITAIPU,sem,3,4,1,4,,17143.045351822446
